alerts,control_type,counter_bits,delay_ms,export_drop_prob,export_latency_ms,expressible,false_positive_rate,fault_type,interference_delay_ms,key_mode,keys_tracked,loss_prob,n_chunks,n_jobs,n_rounds,n_workers,observed_rounds,packets,per_packet_ops,precision,query,reason,recall,register_bytes,scaling_model,seed,sketch_width,state_entries,system,time_to_detection_ms,timeout_ms,window_size,workload
28,,409600,,,,True,0.511111,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,0.179,Q4,,1.0,51200,workers*chunks expected-set bitmap,19,,409600,sonata_windowed,1.0,1.0,,round_failure
28,,26112,,,,True,0.511111,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,0.179,Q4,,1.0,3264,active-round worker counters + chunk bitmap,19,,25616,inc_aware,1.0,1.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,19,,,univmon,,1.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,0,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,0,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,0,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,1,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,1,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,1,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,2,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,2,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,2,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,3,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,3,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,3,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,4,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,4,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,4,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,5,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,5,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,5,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,6,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,6,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,6,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,7,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,7,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,7,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,8,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,8,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,8,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,9,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,9,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,9,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,10,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,10,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,10,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,11,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,11,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,11,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,12,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,12,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,12,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,13,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,13,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,13,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,14,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,14,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,14,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,15,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,15,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,15,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,16,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,16,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,16,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,17,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,17,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,17,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,18,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,18,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,18,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,19,,409600,sonata_windowed,5.0,5.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,19,,25616,inc_aware,5.0,5.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,19,,,univmon,,5.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,0,,409600,sonata_windowed,26.567,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,0,,25616,inc_aware,26.567,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,0,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,1,,409600,sonata_windowed,26.344,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,1,,25616,inc_aware,26.344,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,1,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,2,,409600,sonata_windowed,20.0,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,2,,25616,inc_aware,20.0,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,2,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,3,,409600,sonata_windowed,20.0,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,3,,25616,inc_aware,20.0,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,3,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,4,,409600,sonata_windowed,26.196,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,4,,25616,inc_aware,26.196,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,4,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,5,,409600,sonata_windowed,27.94,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,5,,25616,inc_aware,27.94,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,5,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,6,,409600,sonata_windowed,20.0,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,6,,25616,inc_aware,20.0,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,6,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,7,,409600,sonata_windowed,20.0,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,7,,25616,inc_aware,20.0,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,7,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,8,,409600,sonata_windowed,27.387,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,8,,25616,inc_aware,27.387,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,8,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,9,,409600,sonata_windowed,20.0,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,9,,25616,inc_aware,20.0,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,9,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,10,,409600,sonata_windowed,26.172,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,10,,25616,inc_aware,26.172,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,10,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,11,,409600,sonata_windowed,20.0,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,11,,25616,inc_aware,20.0,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,11,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,12,,409600,sonata_windowed,34.214,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,12,,25616,inc_aware,34.214,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,12,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,13,,409600,sonata_windowed,26.416,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,13,,25616,inc_aware,26.416,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,13,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,14,,409600,sonata_windowed,27.531,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,14,,25616,inc_aware,27.531,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,14,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,15,,409600,sonata_windowed,27.597,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,15,,25616,inc_aware,27.597,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,15,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,16,,409600,sonata_windowed,26.28,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,16,,25616,inc_aware,26.28,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,16,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,17,,409600,sonata_windowed,20.0,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,17,,25616,inc_aware,20.0,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,17,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,18,,409600,sonata_windowed,20.0,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,18,,25616,inc_aware,20.0,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,18,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,19,,409600,sonata_windowed,20.0,20.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,19,,25616,inc_aware,20.0,20.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,19,,,univmon,,20.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,0,,409600,sonata_windowed,98.657,50.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,0,,25616,inc_aware,98.657,50.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,0,,,univmon,,50.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,1,,409600,sonata_windowed,109.564,50.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,1,,25616,inc_aware,109.564,50.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,1,,,univmon,,50.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,2,,409600,sonata_windowed,122.958,50.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,2,,25616,inc_aware,122.958,50.0,,round_failure
,,,,,,False,,missing_chunks,,,,,25600,1,50,16,,20480000,,,Q4,Comparing an observed multi-key set against an externally supplied expected cardinality is outside the sketch abstraction.,,,not expressible,2,,,univmon,,50.0,,round_failure
5,,409600,,,,True,0.0,missing_chunks,,,409600,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,51200,workers*chunks expected-set bitmap,3,,409600,sonata_windowed,123.378,50.0,,round_failure
5,,26112,,,,True,0.0,missing_chunks,,,25616,,25600,1,50,16,,20480000,2,1.0,Q4,,1.0,3264,active-round worker counters + chunk bitmap,3,,25616,inc_aware,123.378,50.0,,round_failure
